CustomerID,Lookalikes
C0001,"[['C0120', 0.860193858504215], ['C0181', 0.8247506148831931], ['C0091', 0.7858601625859687]]"
C0002,"[['C0178', 0.9328767066039853], ['C0159', 0.9293740065316729], ['C0134', 0.863832198506169]]"
C0003,"[['C0031', 0.8723876657395959], ['C0133', 0.8637717434534201], ['C0195', 0.8488171048529066]]"
C0004,"[['C0012', 0.9331206487293933], ['C0113', 0.9185958755367505], ['C0181', 0.7630583816246169]]"
C0005,"[['C0007', 0.9539797213085559], ['C0140', 0.9131355702804632], ['C0146', 0.8903137775764066]]"
C0006,"[['C0187', 0.8712322215405164], ['C0158', 0.7707770937431115], ['C0048', 0.7661670644059771]]"
C0007,"[['C0005', 0.9539797213085559], ['C0140', 0.9344725165028425], ['C0110', 0.8753998992608589]]"
C0008,"[['C0109', 0.8346420065150637], ['C0194', 0.8168789237846407], ['C0098', 0.8148580128143105]]"
C0009,"[['C0198', 0.971648593685618], ['C0060', 0.9434913398327829], ['C0014', 0.9407927238281919]]"
C0010,"[['C0111', 0.9052530518400612], ['C0062', 0.822599716795591], ['C0061', 0.7071132951525557]]"
C0011,"[['C0107', 0.9118210727341978], ['C0190', 0.8501839186245059], ['C0126', 0.8390582438889953]]"
C0012,"[['C0004', 0.9331206487293933], ['C0113', 0.9275382565520046], ['C0104', 0.8746589253658726]]"
C0013,"[['C0099', 0.9388776662608045], ['C0188', 0.8738030682534581], ['C0169', 0.8078603093309603]]"
C0014,"[['C0060', 0.9802150292925259], ['C0198', 0.9519885916726163], ['C0009', 0.9407927238281919]]"
C0015,"[['C0058', 0.9365358425353505], ['C0036', 0.9345540132406219], ['C0131', 0.9322881114403244]]"
C0016,"[['C0117', 0.9009646014359795], ['C0042', 0.8185404601566424], ['C0176', 0.8128484766681108]]"
C0017,"[['C0075', 0.9460990240743891], ['C0057', 0.8471171144219234], ['C0041', 0.8139905651422803]]"
C0018,"[['C0068', 0.861998274273808], ['C0122', 0.8458472241842517], ['C0125', 0.7818403845911789]]"
C0019,"[['C0121', 0.7892080806842046], ['C0119', 0.7884465845177833], ['C0070', 0.7667094292867068]]"
C0020,"[['C0050', 0.8537069347551636], ['C0015', 0.8316327491262774], ['C0058', 0.8011321668318543]]"
